conjunto      subconjunto confianza soporte    lift
                 Congratulations  ;  HUMBLE. ||    Congratulations     0.531  0.0214  24.814
                 Congratulations  ;  HUMBLE. ||            HUMBLE.      0.46  0.0214  21.505
                   XO TOUR Llif3  ;  HUMBLE. ||      XO TOUR Llif3     0.632  0.0204   30.96
                   XO TOUR Llif3  ;  HUMBLE. ||            HUMBLE.     0.439  0.0204  21.505
                        Mask Off  ;  HUMBLE. ||           Mask Off     0.646  0.0204  31.646
                        Mask Off  ;  HUMBLE. ||            HUMBLE.     0.439  0.0204  21.505
                                           Closer         - - -            1   0.072  13.831
                                          HUMBLE.         - - -            1   0.046  21.505
                                             Home         - - -            1   0.045  22.026
                                            Roses         - - -            1   0.042  23.585
                                        One Dance         - - -            1   0.041  24.331
                                             Ride         - - -            1   0.041  24.155
                                  Congratulations         - - -            1    0.04  24.814
                      Broccoli (feat. Lil Yachty)         - - -            1    0.04  25.063
                                         Caroline         - - -            1   0.039  25.641
                                  Let Me Love You         - - -            1   0.038  26.178
                                             Gold         - - -            1   0.037    27.1
                                          T-Shirt         - - -            1   0.035   28.49
              Bad and Boujee (feat. Lil Uzi Vert)         - - -            1   0.035  28.986
                                             Stay         - - -            1   0.034  29.499
                                          Riptide         - - -            1   0.033   30.12
                                    Unforgettable         - - -            1   0.033  30.675
                          iSpy (feat. Lil Yachty)         - - -            1   0.033  30.211
                                          Forever         - - -            1   0.032  31.153
                                      I'm the One         - - -            1   0.032  31.348
                                    XO TOUR Llif3         - - -            1   0.032   30.96
                                            Slide         - - -            1   0.032  31.447
                                         Location         - - -            1   0.032   30.96
                                            Sorry         - - -            1   0.032  31.447
                                Don't Let Me Down         - - -            1   0.032  31.546
          No Problem (feat. Lil Wayne & 2 Chainz)         - - -            1   0.032  31.153
                                         Mask Off         - - -            1   0.032  31.646
                                 Ignition - Remix         - - -            1   0.031  32.258
                                   No Role Modelz         - - -            1   0.031  32.154
                                       goosebumps         - - -            1   0.031  32.468
                                     Shape of You         - - -            1   0.031  32.258
                                            Panda         - - -            1   0.031  32.573
                                            Mercy         - - -            1    0.03  32.787
                                      Bounce Back         - - -            1    0.03   33.67
                                    White Iverson         - - -            1    0.03  32.895
                                        Fake Love         - - -            1    0.03   33.67
                                            Don't         - - -            1    0.03  32.787
                                          My Girl         - - -            1   0.029  34.965
                                            Hello         - - -            1   0.029  34.602
                                    Black Beatles         - - -            1   0.029  35.088
                                          Jumpman         - - -            1   0.029  34.843
                                             Down         - - -            1   0.029  34.843
                                       Trap Queen         - - -            1   0.029  34.602
                                      Gold Digger         - - -            1   0.029  35.088
                                          Redbone         - - -            1   0.028  35.587
                                Despacito - Remix         - - -            1   0.028  35.461
                                  Ni**as In Paris         - - -            1   0.028  36.364
                                        Let It Go         - - -            1   0.028  36.364
                                          Starboy         - - -            1   0.028  35.587
                                        Hurricane         - - -            1   0.028  35.211
                                      Say My Name         - - -            1   0.027  37.594
                            Body Like A Back Road         - - -            1   0.027  37.453
                                       Hallelujah         - - -            1   0.027  37.313
                                           Say It         - - -            1   0.027    36.9
                                        The Hills         - - -            1   0.027   36.63
                    Lean On (feat. MØ & DJ Snake)         - - -            1   0.026  37.736
                                         Stronger         - - -            1   0.026   38.76
                             Don't Stop Believin'         - - -            1   0.026  38.314
                                            Paris         - - -            1   0.026   38.61
                                        Blessings         - - -            1   0.026  38.462
                                      Skinny Love         - - -            1   0.026  38.911
                               That's What I Like         - - -            1   0.026  38.314
                                          Alright         - - -            1   0.026  38.023
                                        September         - - -            1   0.026   38.61
                                   1-800-273-8255         - - -            1   0.026  37.879
                                         Antidote         - - -            1   0.026  38.462
                                             Work         - - -            1   0.026  38.314
                                    Hotline Bling         - - -            1   0.026  37.736
                                   Mr. Brightside         - - -            1   0.025  40.323
                                            Sober         - - -            1   0.025  40.486
                                          Deja Vu         - - -            1   0.025  40.816
